Toy example based on_c1_2_1

VEHICLE CAPACITY
100

DEPOT
XCOORD.    YCOORD.
0           0

NOMBER OF EVENTS
15

DE. NO.  XCOORD.    YCOORD.    DEMAND   DELIVERY
    1      33         78         20      1
    2      59         52         20      1
    3      10        137         30      1
    4       4         28         10      1
    5      25         26         20      1
    6      86         37         10      1
    7       1        109         10      1
    8       6        135         40      1
    9      32         79         20      1
   10      24         26         20      1
   11      86         36         20      1
   12      95         35         10      1
   13      63         50         10      0
   14     100        106         10      0
   15      99        112         20      0
