r1_2_1

VEHICLE CAPACITY
200

DEPOT
XCOORD.    YCOORD.
0           0     

NOMBER OF EVENTS
100

DE. NO.  XCOORD.    YCOORD.    DEMAND   DELIVERY
    1      70         70          10         1
    2     107         77         34          1
    3     109        139          8          1
    4     120         22         39          1
    5      48         47         19          1
    6     116         22         32          1
    7      12        138         14          1
    8      86         40         22          1
    9     121        124         21          1
   10      61         57         35          1
   11      40        113         23          1
   12     129         24         18          1
   13      12         84         16          1
   14      44        116         27          1
   15     102         52         15          1
   16      41         36         13          1
   17     132        133         24          1
   18     104        139         29          1
   19     104         54         13          1
   20      22        104         11          1
   21      46        133          7          1
   22     138         78         43          1
   23      16         92         10          1
   24      18        104         18          1
   25      66         82         27          1
   26     107         25         13          1
   27     139         73         10          1
   28     101          0          9          1
   29      90         14         31          1
   30      20         69         13          1
   31      64        132          8          1
   32     115         82         30          1
   33      54        106          9          1
   34      30         21         12          1
   35      63        129          7          1
   36      82        100         18          1
   37     108         30         18          1
   38      37         73         33          1
   39      50        112         18          1
   40      47         83          1          1
   41      92        138         12          1
   42      81         36         17          1
   43     115        124         11          1
   44      13         48         15          1
   45     113         35          9          1
   46      60         84         23          1
   47      44         58         30          1
   48       8         87         17          1
   49     116        105         23          1
   50     117          4          9          1
   51     140         42         13          1
   52     139         68         25          1
   53      58         95         35          1
   54     103        119         18          1
   55      32         52         32          1
   56      89         39         23          1
   57      54         41          9          1
   58      39        100         31          1
   59       5         99         24          1
   60      67         96         26          1
   61      73         96          9          1
   62     112         13         27          1
   63      55        127         17          1
   64     103         44         12          1
   65      97         12         10          1
   66      16         62         15          1
   67     140         36          1          1
   68      90         44          6          1
   69     113         32         36          1
   70     104         73         17          1
   71      36         38          5          1
   72      15          4         23          1
   73      54         33         20          1
   74      70         94         32          1
   75      35         90         20          1
   76      88         29         33          1
   77     109        131         16          1
   78      10        111         21          1
   79     138        105         24          1
   80     113         45          4          1
   81      92         22         18          0
   82      85         75         37          0
   83      10         86         14          0
   84      51         92          9          0
   85      46        112         10          0
   86      12         48          4          0
   87     137          7         40          0
   88      79         80          4          0
   89      69        116         26          0
   90      28         62         23          0
   91      50        106         25          0
   92      83         38         22          0
   93     120        102         18          0
   94      65          0         20          0
   95       4         71         19          0
   96      19        120         16          0
   97      18         70         26          0
   98      58         80         18          0
   99      49        140          3          0
  100      69        115         20          0
